RegionID,SizeRank,RegionName,RegionType,StateName,Date,MarketHeatIndex,ZHVI,SaleToListRatio,Year
394308,64,"Albany, NY",msa,NY,2018-03-31,49.0,225940.06082336957,0.9761893925474427,2018
394753,65,"Knoxville, TN",msa,TN,2018-03-31,49.0,181647.689050706,0.9701045413165648,2018
394908,68,"New Haven, CT",msa,CT,2018-03-31,47.0,225198.65112240703,0.9603831488300556,2018
394318,70,"Allentown, PA",msa,PA,2018-03-31,43.0,209893.5495537045,0.969804310865804,2018
394952,71,"Oxnard, CA",msa,CA,2018-03-31,62.0,613904.0609436416,0.986083314370426,2018
394486,72,"Columbia, SC",msa,SC,2018-03-31,37.0,151804.8772672025,0.945734027612627,2018
753906,73,"North Port, FL",msa,FL,2018-03-31,39.0,268479.43285549054,0.963087268614415,2018
845158,74,"Dayton, OH",msa,OH,2018-03-31,43.0,256118.84947418442,0.985978715044419,2018
394457,75,"Charleston, SC",msa,SC,2018-03-31,50.0,263866.4407289957,0.9764734683572406,2018
394648,76,"Greensboro, NC",msa,NC,2018-03-31,35.0,152852.95920018002,0.9628557698279216,2018
395134,77,"Stockton, CA",msa,CA,2018-03-31,61.0,371956.9482722184,0.997086411958584,2018
394440,78,"Cape Coral, FL",msa,FL,2018-03-31,37.0,234031.5102307843,0.9572482232684028,2018
394484,80,"Colorado Springs, CO",msa,CO,2018-03-31,75.0,304007.2958945182,0.9945552765976216,2018
394798,81,"Little Rock, AR",msa,AR,2018-03-31,43.0,158210.48559051714,0.9716675441035968,2018
394766,82,"Lakeland, FL",msa,FL,2018-03-31,51.0,175341.57457940024,0.9717319671633996,2018
394304,83,"Akron, OH",msa,OH,2018-03-31,42.0,141133.11690215275,0.962708049511093,2018
394531,84,"Des Moines, IA",msa,IA,2018-03-31,54.0,202172.28568711257,0.9745701385420484,2018
395115,85,"Springfield, MA",msa,MA,2018-03-31,53.0,227585.66536772624,0.9720561786473848,2018
394931,87,"Ogden, UT",msa,UT,2018-03-31,75.0,281556.7871621219,0.9930469100699976,2018
394816,88,"Madison, WI",msa,WI,2018-03-31,65.0,275060.2347171839,0.9910249583277084,2018
395235,89,"Winston, NC",msa,NC,2018-03-31,34.0,158205.3410888098,0.96348002953243,2018
394528,90,"Deltona, FL",msa,FL,2018-03-31,46.0,205117.9830999236,0.9609456550984014,2018
395143,91,"Syracuse, NY",msa,NY,2018-03-31,45.0,137899.88890357214,0.9645694720836648,2018
395006,92,"Provo, UT",msa,UT,2018-03-31,72.0,317398.5345656571,0.9929476022908182,2018
395160,93,"Toledo, OH",msa,OH,2018-03-31,32.0,123149.32311351408,0.9511789258237288,2018
395224,94,"Wichita, KS",msa,KS,2018-03-31,96.0,131505.7514951232,0.9695073477154802,2018
394549,95,"Durham, NC",msa,NC,2018-03-31,61.0,245704.52829936676,0.9878101009421534,2018
394957,97,"Palm Bay, FL",msa,FL,2018-03-31,47.0,213449.47175160225,0.9650977888042142,2018
394711,98,"Jackson, MS",msa,MS,2018-03-31,31.0,143914.31617240777,0.9614977513517308,2018
394666,99,"Harrisburg, PA",msa,PA,2018-03-31,43.0,191298.9440065392,0.9700892632956788,2018
395113,100,"Spokane, WA",msa,WA,2018-03-31,67.0,230762.6572154684,1.0031276125362665,2018
394460,102,"Chattanooga, TN",msa,TN,2018-03-31,55.0,186572.99254072705,0.9737000595749532,2018
394871,103,"Modesto, CA",msa,CA,2018-03-31,62.0,304185.6927303453,0.9897251314319836,2018
394768,104,"Lancaster, PA",msa,PA,2018-03-31,46.0,228144.68068421877,0.9793657457783116,2018
394997,105,"Portland, ME",msa,ME,2018-03-31,52.0,298356.3965266661,0.9703724282222492,2018
395245,106,"Youngstown, OH",msa,OH,2018-03-31,27.0,95890.98779766704,0.9852818810665988,2018
394770,107,"Lansing, MI",msa,MI,2018-03-31,53.0,150262.43379030182,0.9754760485612768,2018
394589,109,"Fayetteville, NC",msa,NC,2018-03-31,49.0,145999.97242438738,0.9796228662116564,2018
394792,110,"Lexington, KY",msa,KY,2018-03-31,48.0,191350.0980493077,0.9705464800135404,2018
395068,112,"Santa Rosa, CA",msa,CA,2018-03-31,65.0,662989.5089792449,0.9995931946867064,2018
395019,113,"Reno, NV",msa,NV,2018-03-31,67.0,360565.7697355272,0.9859516879057576,2018
394698,114,"Huntsville, AL",msa,AL,2018-03-31,49.0,185312.3147428298,0.9758893512178174,2018
394995,115,"Port St. Lucie, FL",msa,FL,2018-03-31,42.0,226400.9892561872,0.9626581107173452,2018
394761,116,"Lafayette, LA",msa,LA,2018-03-31,35.0,186523.1757639616,0.9620246980321164,2018
394898,117,"Myrtle Beach, SC",msa,SC,2018-03-31,45.0,203476.757167939,0.95888847620835,2018
395116,118,"Springfield, MO",msa,MO,2018-03-31,51.0,152057.051983549,0.9726153144365878,2018
395195,119,"Visalia, CA",msa,CA,2018-03-31,54.0,221429.2283453903,0.9841341473826792,2018
394746,120,"Killeen, TX",msa,TX,2018-03-31,55.0,154399.9436061181,0.9753689751226436,2018
394338,121,"Asheville, NC",msa,NC,2018-03-31,49.0,266486.57415114733,0.9654343612792784,2018
395244,122,"York, PA",msa,PA,2018-03-31,51.0,183745.85097588896,0.98001272649948,2018
395183,123,"Vallejo, CA",msa,CA,2018-03-31,69.0,434872.3080235482,0.998139875072692,2018
753917,124,"Santa Maria, CA",msa,CA,2018-03-31,56.0,599037.6297772856,0.9842928370227976,2018
395050,125,"Salinas, CA",msa,CA,2018-03-31,51.0,556946.8728042875,0.9780657492806674,2018
395048,126,"Salem, OR",msa,OR,2018-03-31,70.0,284398.34385453234,0.9999894065997764,2018
395015,128,"Reading, PA",msa,PA,2018-03-31,41.0,178623.07883618423,0.9721330148896286,2018
394502,129,"Corpus Christi, TX",msa,TX,2018-03-31,41.0,174798.70947589853,0.9576921638894772,2018
394820,131,"Manchester, NH",msa,NH,2018-03-31,67.0,285215.8009899221,0.9846817801026044,2018
395051,134,"Salisbury, MD",msa,DE,2018-03-31,42.0,272213.3145945501,0.9589928757842432,2018
394596,135,"Flint, MI",msa,MI,2018-03-31,48.0,105733.24782168472,0.9653603482157536,2018
394972,136,"Peoria, IL",msa,IL,2018-03-31,29.0,114732.97196493804,0.9538054467598678,2018
394439,137,"Canton, OH",msa,OH,2018-03-31,36.0,126244.73417101266,0.9624795037538916,2018
395070,138,"Savannah, GA",msa,GA,2018-03-31,52.0,198446.49493091495,0.9712595523615568,2018
394327,139,"Anchorage, AK",msa,AK,2018-03-31,58.0,303903.45208647725,0.9822144221419384,2018
394372,140,"Beaumont, TX",msa,TX,2018-03-31,52.0,143921.14749141826,0.9494075447418072,2018
395164,142,"Trenton, NJ",msa,NJ,2018-03-31,45.0,264016.7086966795,0.9681828518525832,2018
394875,143,"Montgomery, AL",msa,AL,2018-03-31,32.0,140329.58454067286,0.9581807000543404,2018
394520,144,"Davenport, IA",msa,IL,2018-03-31,44.0,140316.51880236086,0.9576563583110396,2018
395146,145,"Tallahassee, FL",msa,FL,2018-03-31,49.0,180204.20083115005,0.9707361923823102,2018
394576,146,"Eugene, OR",msa,OR,2018-03-31,73.0,287047.1882970697,0.9895996777708004,2018
394901,147,"Naples, FL",msa,FL,2018-03-31,30.0,351158.8700297264,0.948242057652654,2018
394332,148,"Ann Arbor, MI",msa,MI,2018-03-31,73.0,289230.9178553836,0.9860591109844496,2018
394927,149,"Ocala, FL",msa,FL,2018-03-31,42.0,155911.23280071744,0.9610724489550624,2018
394679,150,"Hickory, NC",msa,NC,2018-03-31,44.0,141687.47124450476,0.9599601491171204,2018
394602,152,"Fort Collins, CO",msa,CO,2018-03-31,72.0,396637.6295481497,0.9895265129550374,2018
395033,153,"Rockford, IL",msa,IL,2018-03-31,38.0,114381.43761256924,0.9504961231027192,2018
394622,155,"Gainesville, FL",msa,FL,2018-03-31,50.0,188315.4766806997,0.96010972686616,2018
394405,156,"Boulder, CO",msa,CO,2018-03-31,78.0,532253.6813446967,0.9933116304229728,2018
394646,157,"Green Bay, WI",msa,WI,2018-03-31,45.0,183477.7397095129,0.9763148585059368,2018
